date,enhancement,bug,churn,gc,bc,dc,bm,lm
2014-10-31,2340.0,1052.0,265.0,3.0,0.0,0.0,0.0,0.0
2014-11-03,49.0,0.0,157.0,4.0,0.0,0.0,0.0,3.0
2014-11-05,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-08,0.0,0.0,113.0,0.0,0.0,0.0,0.0,3.0
2014-11-12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-14,0.0,0.0,179.0,2.0,0.0,0.0,0.0,2.0
2014-11-24,164.0,0.0,4553.0,30.0,0.0,0.0,6.0,31.0
2014-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-27,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-07,0.0,900.0,2233.0,46.0,0.0,1.0,7.0,55.0
2014-12-08,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-14,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-15,721.0,0.0,12174.0,98.0,0.0,2.0,11.0,102.0
2014-12-18,16.0,12.0,81.0,4.0,0.0,0.0,0.0,4.0
2014-12-28,1395.0,0.0,21023.0,142.0,1.0,2.0,16.0,150.0
2015-01-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,218.0,0.0,409.0,12.0,0.0,1.0,1.0,13.0
2015-01-17,146.0,0.0,1634.0,6.0,0.0,0.0,0.0,0.0
2015-01-19,19974.0,5799.0,22053.0,143.0,1.0,1.0,14.0,144.0
2015-01-22,17273.0,1992.0,23180.0,204.0,1.0,1.0,16.0,230.0
2015-01-29,12308.0,0.0,23589.0,211.0,1.0,0.0,17.0,230.0
2015-02-05,28081.0,0.0,18325.0,178.0,2.0,0.0,18.0,209.0
2015-02-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-07,0.0,2376.0,18335.0,178.0,2.0,0.0,18.0,209.0
2015-02-08,5779.0,0.0,18654.0,181.0,2.0,1.0,18.0,214.0
2015-02-12,2508.0,0.0,15459.0,156.0,2.0,1.0,14.0,192.0
2015-02-13,1681.0,0.0,13280.0,152.0,2.0,2.0,13.0,187.0
2015-02-18,0.0,0.0,25277.0,218.0,2.0,5.0,17.0,283.0
2015-02-23,412.0,0.0,1364.0,21.0,0.0,0.0,3.0,20.0
2015-02-25,1872.0,2813.0,25226.0,215.0,1.0,7.0,19.0,294.0
2015-03-12,1590.0,0.0,34251.0,250.0,2.0,8.0,21.0,342.0
2015-03-14,0.0,6458.0,34661.0,257.0,2.0,8.0,21.0,344.0
2015-03-19,0.0,0.0,3499.0,21.0,0.0,0.0,1.0,24.0
2015-03-20,1071.0,0.0,9971.0,113.0,1.0,1.0,5.0,140.0
2015-03-28,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-02,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-05,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-08,1908.0,0.0,44724.0,347.0,3.0,9.0,28.0,498.0
2015-04-14,30.0,0.0,2761.0,67.0,0.0,0.0,2.0,86.0
2015-04-16,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0
2015-04-20,45147.0,16429.0,45309.0,299.0,3.0,9.0,29.0,440.0
2015-04-22,52.0,1482.0,18493.0,116.0,1.0,7.0,13.0,171.0
2015-04-23,44684.0,4188.0,50563.0,309.0,4.0,9.0,32.0,457.0
2015-04-25,1186.0,0.0,997.0,11.0,1.0,1.0,2.0,17.0
2015-04-26,17040.0,0.0,50358.0,305.0,4.0,10.0,32.0,458.0
2015-04-27,17132.0,17110.0,50472.0,309.0,4.0,10.0,33.0,460.0
2015-04-28,1664.0,0.0,14777.0,51.0,1.0,5.0,3.0,82.0
2015-04-30,971.0,0.0,989.0,10.0,1.0,1.0,1.0,17.0
2015-05-11,5649.0,0.0,53253.0,363.0,4.0,11.0,39.0,514.0
2015-05-13,0.0,4668.0,52639.0,356.0,3.0,11.0,38.0,504.0
2015-05-18,3192.0,0.0,53158.0,365.0,3.0,11.0,38.0,514.0
2015-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-24,37.0,0.0,2300.0,8.0,0.0,0.0,0.0,10.0
2015-05-26,18.0,0.0,2300.0,8.0,0.0,0.0,0.0,10.0
2015-05-27,4991.0,0.0,72162.0,522.0,8.0,10.0,59.0,728.0
2015-05-28,0.0,1001.0,24635.0,144.0,1.0,7.0,16.0,203.0
2015-05-29,0.0,0.0,81.0,5.0,0.0,1.0,0.0,6.0
2015-05-31,45.0,0.0,11399.0,27.0,0.0,3.0,1.0,49.0
2015-06-01,0.0,0.0,10714.0,24.0,0.0,3.0,1.0,42.0
2015-06-10,0.0,0.0,581.0,9.0,0.0,0.0,4.0,10.0
2015-06-12,0.0,86.0,740.0,5.0,0.0,1.0,1.0,11.0
2015-06-16,0.0,159.0,1265.0,3.0,0.0,0.0,0.0,12.0
2015-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-12,6094.0,0.0,103316.0,664.0,14.0,18.0,75.0,940.0
2015-07-16,686.0,0.0,604.0,10.0,0.0,0.0,1.0,7.0
2015-07-22,373.0,93.0,583.0,10.0,0.0,0.0,1.0,6.0
2015-07-25,0.0,0.0,25501.0,204.0,2.0,3.0,23.0,288.0
2015-07-26,66.0,0.0,166.0,3.0,0.0,0.0,1.0,4.0
2015-07-27,152.0,50.0,166.0,3.0,0.0,0.0,1.0,4.0
2015-07-29,9.0,9772.0,126823.0,708.0,15.0,19.0,76.0,1012.0
2015-08-03,0.0,0.0,1008.0,15.0,1.0,1.0,2.0,17.0
2015-08-07,3359.0,0.0,116783.0,663.0,18.0,19.0,76.0,934.0
2015-08-09,0.0,557.0,3353.0,59.0,0.0,0.0,5.0,98.0
2015-08-11,0.0,16.0,15.0,0.0,0.0,0.0,0.0,1.0
2015-08-15,0.0,0.0,2573.0,48.0,0.0,0.0,4.0,75.0
2015-08-24,10919.0,0.0,86226.0,555.0,13.0,16.0,69.0,786.0
2015-09-02,384.0,0.0,939.0,6.0,0.0,0.0,1.0,15.0
2015-09-05,630.0,0.0,752.0,1.0,0.0,0.0,0.0,4.0
2015-09-06,0.0,282.0,3461.0,13.0,0.0,0.0,3.0,22.0
2015-09-08,0.0,0.0,79.0,0.0,0.0,0.0,0.0,2.0
2015-09-18,0.0,1747.0,11364.0,92.0,1.0,2.0,14.0,109.0
2015-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-23,458.0,0.0,2709.0,12.0,0.0,0.0,3.0,18.0
2015-09-25,0.0,0.0,2709.0,12.0,0.0,0.0,3.0,18.0
2015-09-26,11874.0,0.0,149418.0,727.0,19.0,23.0,78.0,1052.0
2015-09-27,0.0,5296.0,151324.0,736.0,19.0,23.0,78.0,1071.0
2015-09-29,0.0,0.0,156.0,4.0,0.0,0.0,1.0,3.0
2015-10-05,50.0,0.0,131.0,6.0,0.0,0.0,0.0,8.0
2015-10-14,34.0,0.0,4747.0,2.0,1.0,0.0,2.0,7.0
2015-10-16,1772.0,0.0,46605.0,385.0,8.0,7.0,43.0,494.0
2015-10-20,3771.0,0.0,29708.0,312.0,8.0,1.0,39.0,413.0
2015-10-22,0.0,24.0,114.0,4.0,0.0,0.0,1.0,2.0
2015-10-23,0.0,0.0,114.0,4.0,0.0,0.0,1.0,2.0
2015-10-26,0.0,0.0,2789.0,55.0,0.0,1.0,7.0,54.0
