date,enhancement,bug,churn,gc,bc,dc,bm,lm
2014-04-23,0.0,0.0,1236.0,2.0,0.0,0.0,0.0,0.0
2014-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-26,0.0,39.0,3016.0,0.0,0.0,0.0,0.0,0.0
2014-04-27,15.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0
2014-04-30,20.0,0.0,2485.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,0.0,21.0,1818.0,0.0,0.0,0.0,0.0,0.0
2014-05-02,0.0,1.0,1031.0,0.0,0.0,0.0,0.0,0.0
2014-05-04,17.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0
2014-05-05,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0
2014-05-07,26.0,0.0,3431.0,0.0,0.0,0.0,0.0,0.0
2014-05-08,0.0,0.0,3203.0,0.0,0.0,0.0,0.0,0.0
2014-05-09,1.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0
2014-05-10,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
2014-05-12,47.0,0.0,2674.0,2.0,0.0,0.0,0.0,0.0
2014-05-13,8.0,42.0,4143.0,4.0,0.0,0.0,0.0,0.0
2014-05-14,0.0,88.0,2323.0,0.0,0.0,0.0,0.0,0.0
2014-05-15,29.0,0.0,2452.0,2.0,0.0,0.0,0.0,0.0
2014-05-16,0.0,10.0,280.0,2.0,0.0,0.0,0.0,0.0
2014-05-17,73.0,0.0,3693.0,0.0,0.0,0.0,0.0,0.0
2014-05-18,0.0,36.0,3690.0,0.0,0.0,0.0,0.0,0.0
2014-05-19,0.0,45.0,8575.0,1.0,0.0,0.0,0.0,0.0
2014-05-20,4.0,45.0,1772.0,0.0,0.0,0.0,0.0,0.0
2014-05-21,4.0,17.0,5269.0,1.0,0.0,0.0,0.0,0.0
2014-05-22,20.0,24.0,5243.0,1.0,0.0,0.0,0.0,0.0
2014-05-23,0.0,14.0,906.0,0.0,0.0,0.0,0.0,0.0
2014-05-24,29.0,0.0,946.0,0.0,0.0,0.0,0.0,0.0
2014-05-26,0.0,9.0,501.0,0.0,0.0,0.0,0.0,0.0
2014-05-27,19.0,25.0,2108.0,1.0,0.0,0.0,0.0,0.0
2014-05-28,27.0,0.0,1647.0,1.0,0.0,0.0,0.0,0.0
2014-05-29,0.0,74.0,2635.0,2.0,0.0,0.0,0.0,0.0
2014-05-30,8.0,14.0,2012.0,2.0,0.0,0.0,0.0,0.0
2014-05-31,0.0,32.0,3143.0,1.0,0.0,0.0,0.0,0.0
2014-06-02,0.0,0.0,636.0,0.0,0.0,0.0,0.0,0.0
2014-06-03,1.0,3.0,602.0,0.0,0.0,0.0,0.0,0.0
2014-06-04,18.0,3.0,579.0,0.0,0.0,0.0,0.0,0.0
2014-06-05,0.0,9.0,1071.0,1.0,0.0,0.0,0.0,0.0
2014-06-06,30.0,3.0,3445.0,2.0,0.0,0.0,0.0,0.0
2014-06-08,18.0,0.0,3659.0,0.0,0.0,0.0,0.0,0.0
2014-06-09,4.0,2.0,3659.0,0.0,0.0,0.0,0.0,0.0
2014-06-10,0.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,44.0,8.0,591.0,1.0,0.0,0.0,0.0,0.0
2014-06-12,41.0,9.0,617.0,3.0,0.0,0.0,0.0,0.0
2014-06-14,0.0,0.0,611.0,3.0,0.0,0.0,0.0,0.0
2014-06-15,0.0,11.0,611.0,3.0,0.0,0.0,0.0,0.0
2014-06-16,0.0,3.0,1068.0,1.0,0.0,0.0,0.0,0.0
2014-06-17,58.0,0.0,649.0,0.0,0.0,0.0,0.0,0.0
2014-06-18,33.0,0.0,1776.0,5.0,0.0,0.0,0.0,0.0
2014-06-19,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
2014-06-20,1.0,0.0,1095.0,5.0,0.0,0.0,0.0,0.0
2014-06-21,3.0,5.0,104.0,1.0,0.0,0.0,0.0,0.0
2014-06-22,11.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0
2014-06-23,0.0,9.0,2041.0,2.0,0.0,0.0,0.0,0.0
2014-06-24,0.0,0.0,1517.0,1.0,0.0,0.0,0.0,0.0
2014-06-25,13.0,2.0,454.0,2.0,0.0,0.0,0.0,0.0
2014-06-26,24.0,10.0,616.0,1.0,0.0,0.0,0.0,0.0
2014-06-27,0.0,3.0,171.0,0.0,0.0,0.0,0.0,0.0
